project_template,OPEN_PROM
Price|Final Energy|Transportation|Domestic Shipping|Gases, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|Gases"
Price|Final Energy|Transportation|Domestic Shipping|Hydrogen, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|Hydrogen"
Price|Final Energy|Transportation|Domestic Shipping|Liquids, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|All Liquids"
Price|Final Energy|Transportation|Freight|Electricity, "Price|Final Energy|Transportation|Goods Transport - Rail|Electricity"
Price|Final Energy|Transportation|Freight|Liquids, "Price|Final Energy|Transportation|Goods Transport - Rail|All Liquids"
Price|Final Energy|Transportation|Rail|Electricity, "Price|Final Energy|Transportation|Passenger Transport - Rail|Electricity"
Investment|Energy Supply|Electricity|Biomass, "Investment|Energy Supply|Electricity|Biofuels"
Investment|Energy Supply|Electricity|Biomass|w/ CCS, "Investment|Energy Supply|Electricity|Biofuels|w/ CCS"
Investment|Energy Supply|Electricity|Biomass|w/o CCS, "Investment|Energy Supply|Electricity|Biofuels|w/o CCS"
Investment|Energy Supply|Electricity|Geothermal, "Investment|Energy Supply|Electricity|Geothermal and other renewable sources"
Capital Cost|Electricity|Biomass, "Capital Cost|Energy Supply|Electricity|Biofuels"
Capital Cost|Electricity|Biomass|w/ CCS, "Capital Cost|Energy Supply|Electricity|Biofuels|w/ CCS"
Capital Cost|Electricity|Biomass|w/o CCS, "Capital Cost|Energy Supply|Electricity|Biofuels|w/o CCS"
Capital Cost|Electricity|Coal, "Capital Cost|Energy Supply|Electricity|Coal"
Capital Cost|Electricity|Coal|w/ CCS, "Capital Cost|Energy Supply|Electricity|Coal|w/ CCS"
Capital Cost|Electricity|Coal|w/o CCS, "Capital Cost|Energy Supply|Electricity|Coal|w/o CCS"
Capital Cost|Electricity|Gas, "Capital Cost|Energy Supply|Electricity|Gas"
Capital Cost|Electricity|Gas|w/ CCS, "Capital Cost|Energy Supply|Electricity|Gas|w/ CCS"
Capital Cost|Electricity|Gas|w/o CCS, "Capital Cost|Energy Supply|Electricity|Gas|w/o CCS"
Capital Cost|Electricity|Geothermal, "Capital Cost|Energy Supply|Electricity|Geothermal and other renewable sources"
Capital Cost|Electricity|Hydro, "Capital Cost|Energy Supply|Electricity|Hydro"
Capital Cost|Electricity|Hydrogen, "Capital Cost|Energy Supply|Electricity|Hydrogen"
Capital Cost|Electricity|Nuclear, "Capital Cost|Energy Supply|Electricity|Nuclear"
Capital Cost|Electricity|Oil, "Capital Cost|Energy Supply|Electricity|Oil"
Capital Cost|Electricity|Oil|w/o CCS, "Capital Cost|Energy Supply|Electricity|Oil|w/o CCS"
Capital Cost|Electricity|Solar, "Capital Cost|Energy Supply|Electricity|Solar"
Capital Cost|Electricity|Wind, "Capital Cost|Energy Supply|Electricity|Wind"
Trade|Primary Energy|Coal [Volume],Trade|Net Export|Primary Energy|Coal
Trade|Primary Energy|Gas [Volume],Trade|Net Export|Primary Energy|Gas
Trade|Primary Energy|Oil [Volume],Trade|Net Export|Primary Energy|Oil
Trade|Primary Energy|Fossil [Volume],Trade|Net Export|Primary Energy|Fossil
Trade|Primary Energy|Biomass [Volume],Trade|Net Export|Primary Energy|Biomass
Trade|Secondary Energy|Electricity [Volume],Trade|Net Export|Secondary Energy|Electricity
Trade|Secondary Energy|Hydrogen [Volume],Trade|Net Export|Secondary Energy|Hydrogen
Trade|Secondary Energy|Liquids [Volume],Trade|Net Export|Secondary Energy|Liquids
