project_template,OPEN_PROM
Price|Final Energy|Transportation|Domestic Shipping|Hydrogen, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|Hydrogen"
Price|Final Energy|Transportation|Domestic Shipping|Liquids, "Price|Final Energy|Transportation|Goods Transport - Inland Navigation|All Liquids"
Price|Final Energy|Transportation|Freight|Electricity, "Price|Final Energy|Transportation|Goods Transport - Rail|Electricity"
Price|Final Energy|Transportation|Freight|Liquids, "Price|Final Energy|Transportation|Goods Transport - Rail|All Liquids"
Price|Final Energy|Transportation|Rail|Electricity, "Price|Final Energy|Transportation|Passenger Transport - Rail|Electricity"
Investment|Energy Supply|Electricity|Biomass, "Investment|Energy Supply|Electricity|Biofuels"
Investment|Energy Supply|Electricity|Biomass|w/ CCS, "Investment|Energy Supply|Electricity|Biofuels|w/ CCS"
Investment|Energy Supply|Electricity|Biomass|w/o CCS, "Investment|Energy Supply|Electricity|Biofuels|w/o CCS"
Investment|Energy Supply|Electricity|Geothermal, "Investment|Energy Supply|Electricity|Geothermal and other renewable sources"
Capital Cost|Electricity|Biomass, "Capital Cost|Energy Supply|Electricity|Biofuels"
Capital Cost|Electricity|Biomass|w/ CCS, "Capital Cost|Energy Supply|Electricity|Biofuels|w/ CCS"
Capital Cost|Electricity|Biomass|w/o CCS, "Capital Cost|Energy Supply|Electricity|Biofuels|w/o CCS"
Capital Cost|Electricity|Coal, "Capital Cost|Energy Supply|Electricity|Coal"
Capital Cost|Electricity|Coal|w/ CCS, "Capital Cost|Energy Supply|Electricity|Coal|w/ CCS"
Capital Cost|Electricity|Coal|w/o CCS, "Capital Cost|Energy Supply|Electricity|Coal|w/o CCS"
Capital Cost|Electricity|Gas, "Capital Cost|Energy Supply|Electricity|Gas"
Capital Cost|Electricity|Gas|w/ CCS, "Capital Cost|Energy Supply|Electricity|Gas|w/ CCS"
Capital Cost|Electricity|Gas|w/o CCS, "Capital Cost|Energy Supply|Electricity|Gas|w/o CCS"
Capital Cost|Electricity|Geothermal, "Capital Cost|Energy Supply|Electricity|Geothermal and other renewable sources"
Capital Cost|Electricity|Hydro, "Capital Cost|Energy Supply|Electricity|Hydro"
Capital Cost|Electricity|Hydrogen, "Capital Cost|Energy Supply|Electricity|Hydrogen"
Capital Cost|Electricity|Nuclear, "Capital Cost|Energy Supply|Electricity|Nuclear"
Capital Cost|Electricity|Oil, "Capital Cost|Energy Supply|Electricity|Oil"
Capital Cost|Electricity|Oil|w/o CCS, "Capital Cost|Energy Supply|Electricity|Oil|w/o CCS"
Capital Cost|Electricity|Solar, "Capital Cost|Energy Supply|Electricity|Solar"
Capital Cost|Electricity|Wind, "Capital Cost|Energy Supply|Electricity|Wind"
Price|Carbon, "Price|Carbon"
Price|Final Energy|Commercial|Electricity, "Price|Final Energy|Commercial|Electricity"
Price|Final Energy|Commercial|Gases|Biomass, "Price|Final Energy|Commercial|Biogas"
Price|Final Energy|Commercial|Gases|Fossil, "Price|Final Energy|Commercial|Natural Gas"
Price|Final Energy|Commercial|Gases|Fossil, "Price|Final Energy|Commercial|Other Gases"
Price|Final Energy|Commercial|Liquids|Biomass, "Price|Final Energy|Commercial|Biodiesel"
Price|Final Energy|Commercial|Liquids|Biomass, "Price|Final Energy|Commercial|Biogasoline"
Price|Final Energy|Commercial|Liquids|Biomass, "Price|Final Energy|Commercial|Biokerosene"
Price|Final Energy|Commercial|Liquids|Biomass, "Price|Final Energy|Commercial|Ethanol"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Crude Oil and Feedstocks"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Fossil Diesel Oil"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Fossil Gasoline"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Fossil Kerosene"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Liquefied Petroleum Gas"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Other Liquids"
Price|Final Energy|Commercial|Liquids|Fossil, "Price|Final Energy|Commercial|Residual Fuel Oil"
Price|Final Energy|Commercial|Solids|Biomass, "Price|Final Energy|Commercial|Biomass and Waste"
Price|Final Energy|Commercial|Solids|Fossil, "Price|Final Energy|Commercial|Hard Coal, Coke and Other Solids"
Price|Final Energy|Commercial|Solids|Fossil, "Price|Final Energy|Commercial|Lignite"
Price|Final Energy|Industry|Electricity, "Price|Final Energy|Industry|Electricity"
Price|Final Energy|Industry|Heat, "Price|Final Energy|Industry|Steam"
Price|Final Energy|Industry|Hydrogen, "Price|Final Energy|Industry|Hydrogen"
Price|Final Energy|Industry|Gases, "Price|Final Energy|Industry|Biogas"
Price|Final Energy|Industry|Gases, "Price|Final Energy|Industry|Natural Gas"
Price|Final Energy|Industry|Gases, "Price|Final Energy|Industry|Other Gases"
Price|Final Energy|Industry|Gases|Biomass, "Price|Final Energy|Industry|Biogas"
Price|Final Energy|Industry|Gases|Fossil, "Price|Final Energy|Industry|Natural Gas"
Price|Final Energy|Industry|Gases|Fossil, "Price|Final Energy|Industry|Other Gases"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Biodiesel"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Biogasoline"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Biokerosene"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Ethanol"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Crude Oil and Feedstocks"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Fossil Diesel Oil"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Fossil Gasoline"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Fossil Kerosene"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Liquefied Petroleum Gas"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Other Liquids"
Price|Final Energy|Industry|Liquids, "Price|Final Energy|Industry|Residual Fuel Oil"
Price|Final Energy|Industry|Liquids|Biomass, "Price|Final Energy|Industry|Biodiesel"
Price|Final Energy|Industry|Liquids|Biomass, "Price|Final Energy|Industry|Biogasoline"
Price|Final Energy|Industry|Liquids|Biomass, "Price|Final Energy|Industry|Biokerosene"
Price|Final Energy|Industry|Liquids|Biomass, "Price|Final Energy|Industry|Ethanol"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Crude Oil and Feedstocks"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Fossil Diesel Oil"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Fossil Gasoline"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Fossil Kerosene"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Liquefied Petroleum Gas"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Other Liquids"
Price|Final Energy|Industry|Liquids|Fossil, "Price|Final Energy|Industry|Residual Fuel Oil"
Price|Final Energy|Industry|Solids, "Price|Final Energy|Industry|Biomass and Waste"
Price|Final Energy|Industry|Solids, "Price|Final Energy|Industry|Hard Coal, Coke and Other Solids"
Price|Final Energy|Industry|Solids, "Price|Final Energy|Industry|Lignite"
Price|Final Energy|Industry|Solids|Biomass, "Price|Final Energy|Industry|Biomass and Waste"
Price|Final Energy|Industry|Solids|Fossil, "Price|Final Energy|Industry|Hard Coal, Coke and Other Solids"
Price|Final Energy|Industry|Solids|Fossil, "Price|Final Energy|Industry|Lignite"
Price|Final Energy|Residential|Electricity, "Price|Final Energy|Residential|Electricity"
Price|Final Energy|Residential|Gases|Biomass, "Price|Final Energy|Residential|Biogas"
Price|Final Energy|Residential|Gases|Fossil, "Price|Final Energy|Residential|Natural Gas"
Price|Final Energy|Residential|Gases|Fossil, "Price|Final Energy|Residential|Other Gases"
Price|Final Energy|Residential|Liquids|Biomass, "Price|Final Energy|Residential|Biodiesel"
Price|Final Energy|Residential|Liquids|Biomass, "Price|Final Energy|Residential|Biogasoline"
Price|Final Energy|Residential|Liquids|Biomass, "Price|Final Energy|Residential|Biokerosene"
Price|Final Energy|Residential|Liquids|Biomass, "Price|Final Energy|Residential|Ethanol"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Crude Oil and Feedstocks"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Fossil Diesel Oil"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Fossil Gasoline"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Fossil Kerosene"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Liquefied Petroleum Gas"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Other Liquids"
Price|Final Energy|Residential|Liquids|Fossil, "Price|Final Energy|Residential|Residual Fuel Oil"
Price|Final Energy|Residential|Solids|Biomass, "Price|Final Energy|Residential|Biomass and Waste"
Price|Final Energy|Residential|Solids|Fossil, "Price|Final Energy|Residential|Hard Coal, Coke and Other Solids"
Price|Final Energy|Residential|Solids|Fossil, "Price|Final Energy|Residential|Lignite"
Price|Final Energy|Transportation|Electricity, "Price|Final Energy|Transportation|Electricity"
Price|Final Energy|Transportation|Gases|Biomass, "Price|Final Energy|Transportation|Biogas"
Price|Final Energy|Transportation|Gases|Fossil, "Price|Final Energy|Transportation|Natural Gas"
Price|Final Energy|Transportation|Gases|Fossil, "Price|Final Energy|Transportation|Other Gases"
Price|Final Energy|Transportation|Liquids|Biomass, "Price|Final Energy|Transportation|Biodiesel"
Price|Final Energy|Transportation|Liquids|Biomass, "Price|Final Energy|Transportation|Biogasoline"
Price|Final Energy|Transportation|Liquids|Biomass, "Price|Final Energy|Transportation|Biokerosene"
Price|Final Energy|Transportation|Liquids|Biomass, "Price|Final Energy|Transportation|Ethanol"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Crude Oil and Feedstocks"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Fossil Diesel Oil"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Fossil Gasoline"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Fossil Kerosene"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Liquefied Petroleum Gas"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Other Liquids"
Price|Final Energy|Transportation|Liquids|Fossil, "Price|Final Energy|Transportation|Residual Fuel Oil"
Price|Final Energy|Transportation|Solids|Biomass, "Price|Final Energy|Transportation|Biomass and Waste"
Price|Final Energy|Transportation|Solids|Fossil, "Price|Final Energy|Transportation|Hard Coal, Coke and Other Solids"
Price|Final Energy|Transportation|Solids|Fossil, "Price|Final Energy|Transportation|Lignite"
